There	EX	there
is	VBZ	be
now	RB	now
credible	JJ	credible
information	NN	information
regarding	VVG	regard
the	DT	the
election	NN	election
results	NNS	result
.	SENT	.
Evidence	NN	evidence
ofcybercorruption	NN	ofcybercorruption
involving	VVG	involve
Pennsylvania	NP	Pennsylvania
,	,	,
Ohio	NP	Ohio
and	CC	and
Wisconsin	NP	Wisconsin
is	VBZ	be
substantial	JJ	substantial
.	SENT	.
Thiswould	NNS	Thiswould
throw	VVP	throw
the	DT	the
results	NNS	result
of	IN	of
the	DT	the
2016	CD	@card@
presidential	JJ	presidential
election	NN	election
into	IN	into
dispute	NN	dispute
.	SENT	.
I	PP	I
understand	VVP	understand
that	IN/that	that
to	TO	to
contest	VV	contest
the	DT	the
results	NNS	result
of	IN	of
the	DT	the
presidential	JJ	presidential
election	NN	election
wouldbring	VVG	wouldbring
this	DT	this
country	NN	country
into	IN	into
a	DT	a
state	NN	state
of	IN	of
chaos	NN	chaos
,	,	,
and	CC	and
normally	RB	normally
I	PP	I
would	MD	would
see	VV	see
this	DT	this
as	RB	as
worsethan	JJ	worsethan
the	DT	the
conflict	NN	conflict
we	PP	we
are	VBP	be
trying	VVG	try
to	TO	to
resolve	VV	resolve
.	SENT	.
But	CC	but
in	IN	in
this	DT	this
case	NN	case
it	PP	it
is	VBZ	be
not	RB	not
.	SENT	.
Thestakes	NNS	Thestakes
are	VBP	be
too	RB	too
high	JJ	high
.	SENT	.
We	PP	we
have	VHP	have
recent	JJ	recent
history	NN	history
in	IN	in
the	DT	the
George	NP	George
W.	NP	W.
Bush	NP	Bush
era	NN	era
that	IN/that	that
whenthe	NN	whenthe
questionable	JJ	questionable
election	NN	election
was	VBD	be
not	RB	not
disputed	VVN	dispute
,	,	,
in	IN	in
both	DT	both
2000	CD	@card@
and	CC	and
2004	CD	@card@
elections	NNS	election
,	,	,
disaster	NN	disaster
ensued	VVD	ensue
.	SENT	.
I	PP	I
implore	VVP	implore
Hillary	NP	Hillary
Clinton	NP	Clinton
to	TO	to
fight	VV	fight
.	SENT	.
Fight	NN	fight
for	IN	for
this	DT	this
country	NN	country
,	,	,
for	IN	for
our	PP$	our
future	NN	future
,	,	,
forthe	NP	forthe
environment	NN	environment
,	,	,
for	IN	for
our	PP$	our
children	NNS	child
.	SENT	.
