Earlier	RBR	earlier
this	DT	this
year	NN	year
,	,	,
former	JJ	former
reality	NN	reality
show	NN	show
contestant	NN	contestant
Omarosa	NP	Omarosa
Manigault	NP	Manigault
made	VVD	make
anabsurd	NN	anabsurd
prediction	NN	prediction
on	IN	on
PBS	NP	PBS
"	``	"
Frontline	NP	Frontline
"	''	"
that	WDT	that
has	VHZ	have
proved	VVN	prove
to	TO	to
be	VB	be
prescient	JJ	prescient
-	:	-
at	IN	at
leastregarding	JJ	leastregarding
Republicans	NNS	republican
:	:	:
"	``	"
Every	DT	every
critic	NN	critic
,	,	,
every	DT	every
detractor	NN	detractor
will	MD	will
have	VH	have
to	TO	to
bow	VV	bow
down	RP	down
to	TO	to
President	NP	President
Trump	NP	Trump
,	,	,
"	``	"
shesaid	NNS	shesaid
with	IN	with
a	DT	a
smile	NN	smile
full	JJ	full
of	IN	of
serpentine	JJ	serpentine
authority	NN	authority
.	SENT	.
"	``	"
It	PP	it
's	VBZ	be
everyone	NN	everyone
who	WP	who
has	VHZ	have
everdoubted	VVN	everdoubted
Donald	NP	Donald
,	,	,
who	WP	who
ever	RB	ever
disagreed	VVD	disagree
,	,	,
who	WP	who
ever	RB	ever
challenged	VVD	challenge
him	PP	him
.	SENT	.
It	PP	it
is	VBZ	be
the	DT	the
ultimaterevenge	NN	ultimaterevenge
to	TO	to
become	VV	become
the	DT	the
most	RBS	most
powerful	JJ	powerful
man	NN	man
in	IN	in
the	DT	the
universe	NN	universe
.	SENT	.
"	``	"
We	PP	we
all	RB	all
guffawed	VVD	guffaw
loudly	RB	loudly
at	IN	at
that	DT	that
bit	NN	bit
of	IN	of
apocalyptic	JJ	apocalyptic
prophesying	VVG	prophesy
.	SENT	.
After	IN	after
all	DT	all
,	,	,
Omarosa	NP	Omarosa
's	POS	's
claim	NN	claim
to	TO	to
fame	NN	fame
had	VHD	have
been	VBN	be
as	IN	as
the	DT	the
designated	VVN	designate
villain	NN	villain
during	IN	during
Season	NP	Season
1	CD	1
of"The	NN	of"The
Apprentice	NN	apprentice
.	SENT	.
"	''	"
She	PP	she
accused	VVD	accuse
the	DT	the
show	NN	show
of	IN	of
selectively	RB	selectively
editing	VVG	edit
scenes	NNS	scene
to	TO	to
make	VV	make
herlook	NN	herlook
like	IN	like
a	DT	a
Dragon	NP	Dragon
Lady	NP	Lady
and	CC	and
even	RB	even
hinted	VVD	hint
that	IN/that	that
the	DT	the
producers	NNS	producer
were	VBD	be
racist	JJ	racist
.	SENT	.
Since	IN	since
then	RB	then
,	,	,
Omarosa	NP	Omarosa
and	CC	and
"	``	"
The	DT	the
Donald	NP	Donald
"	``	"
have	VHP	have
mended	VVN	mend
fences	NNS	fence
.	SENT	.
The	DT	the
former	JJ	former
Democrat	NP	Democrat
whoonce	NN	whoonce
worked	VVD	work
for	IN	for
Vice	NP	Vice
President	NP	President
Al	NP	Al
Gore	NP	Gore
became	VVD	become
Donald	NP	Donald
Trump	NP	Trump
's	POS	's
African-Americanoutreach	NN	African-Americanoutreach
coordinator	NN	coordinator
,	,	,
arguably	RB	arguably
America	NP	America
's	POS	's
most	RBS	most
thankless	JJ	thankless
job	NN	job
.	SENT	.
After	IN	after
her	PP$	her
TV	NN	TV
boss	NN	boss
and	CC	and
onetime	JJ	onetime
tormentor	NN	tormentor
was	VBD	be
elected	VVN	elect
the	DT	the
45th	JJ	45th
president	NN	president
of	IN	of
theUnited	JJ	theUnited
States	NPS	States
,	,	,
Omarosa	NP	Omarosa
gushed	VVD	gush
to	TO	to
the	DT	the
media	NNS	medium
about	IN	about
the	DT	the
existence	NN	existence
of	IN	of
an	DT	an
"	``	"
enemieslist	NN	enemieslist
"	''	"
of	IN	of
pols	NNS	pol
who	WP	who
did	VVD	do
not	RB	not
support	VV	support
Mr.	NP	Mr.
Trump	NP	Trump
's	POS	's
run	NN	run
for	IN	for
the	DT	the
White	NP	White
House	NP	House
.	SENT	.
"	``	"
It	PP	it
's	VBZ	be
sogreat	NN	sogreat
our	PP$	our
enemies	NNS	enemy
are	VBP	be
making	VVG	make
themselves	PP	themselves
clear	JJ	clear
so	RB	so
that	IN/that	that
when	WRB	when
we	PP	we
get	VVP	get
into	IN	into
the	DT	the
WhiteHouse	NP	Whitehouse
,	,	,
we	PP	we
know	VVP	know
where	WRB	where
we	PP	we
stand	VVP	stand
,	,	,
"	''	"
she	PP	she
said	VVD	say
,	,	,
echoing	VVG	echo
Richard	NP	Richard
Nixon	NP	Nixon
.	SENT	.
Watching	VVG	watch
the	DT	the
almost	RB	almost
ritualistic	JJ	ritualistic
humiliation	NN	humiliation
of	IN	of
former	JJ	former
Massachusetts	NP	Massachusetts
Gov.	NP	Gov.
MittRomney	NP	MittRomney
during	IN	during
his	PP$	his
bid	NN	bid
to	TO	to
become	VV	become
the	DT	the
next	JJ	next
secretary	NN	secretary
of	IN	of
state	NN	state
calls	NNS	call
to	TO	to
mindOmarosa	NP	mindOmarosa
's	POS	's
chilling	JJ	chilling
words	NNS	word
on	IN	on
"	``	"
Frontline	NP	Frontline
.	SENT	.
"	``	"
At	IN	at
the	DT	the
time	NN	time
,	,	,
she	PP	she
was	VBD	be
mostly	RB	mostly
talking	VVG	talk
about	IN	about
Democrats	NNS	democrat
,	,	,
but	CC	but
that	DT	that
's	VBZ	be
not	RB	not
going	VVG	go
tohappen	NN	tohappen
.	SENT	.
The	DT	the
opposite	NN	opposite
of	IN	of
"	``	"
bowing	VVG	bow
down	RP	down
"	''	"
has	VHZ	have
already	RB	already
begun	VVN	begin
on	IN	on
theliberal/progressive	JJ	theliberal/progressive
front	NN	front
.	SENT	.
Democrats	NPS	Democrats
are	VBP	be
livid	JJ	livid
over	IN	over
losing	VVG	lose
the	DT	the
White	NP	White
House	NP	House
to	TO	to
aguy	NNS	aguy
who	WP	who
lost	VVD	lose
every	DT	every
debate	NN	debate
,	,	,
lost	VVD	lose
the	DT	the
popular	JJ	popular
vote	NN	vote
by	IN	by
at	IN	at
least	JJS	least
2	CD	2
million	CD	million
and	CC	and
willlikely	RB	willlikely
have	VHP	have
more	JJR	more
conflicts	NNS	conflict
of	IN	of
interests	NNS	interest
than	IN	than
any	DT	any
president	NN	president
in	IN	in
U.	NP	U.
S.	NP	S.
history	NN	history
.	SENT	.
But	CC	but
what	WP	what
's	VBZ	be
interesting	JJ	interesting
is	VBZ	be
that	IN/that	that
unlike	IN	unlike
Democrats	NNS	democrat
,	,	,
more	JJR	more
than	IN	than
a	DT	a
few	JJ	few
once-staunch"Never	NP	once-staunch"Never
Trump	NP	Trump
"	''	"
Republicans	NPS	Republicans
have	VHP	have
already	RB	already
bared	VVN	bare
their	PP$	their
necks	NNS	neck
like	IN	like
submissive	JJ	submissive
caninesbefore	NN	caninesbefore
the	DT	the
Trump	NP	Trump
alpha	NN	alpha
dog	NN	dog
.	SENT	.
Those	DT	those
of	IN	of
us	PP	us
who	WP	who
remember	VVP	remember
the	DT	the
disturbing	JJ	disturbing
stories	NNS	storey
of	IN	of
Mr.	NP	Mr.
Romney	NP	Romney
's	POS	's
bullying	VVG	bully
wayswhen	NN	wayswhen
he	PP	he
was	VBD	be
allegedly	RB	allegedly
a	DT	a
prep	NN	prep
school	NN	school
sadist	NN	sadist
at	IN	at
Michigan	NP	Michigan
's	POS	's
Cranbrook	NP	Cranbrook
School	NP	School
in	IN	in
themid-1960s	NNS	themid-1960s
will	MD	will
admit	VV	admit
to	TO	to
a	DT	a
tinge	NN	tinge
of	IN	of
schadenfreude	NNS	schadenfreude
watching	VVG	watch
him	PP	him
get	VVP	get
hazed	VVN	haze
by	IN	by
aneven	JJ	aneven
bigger	JJR	big
bully	NN	bully
.	SENT	.
The	DT	the
fact	NN	fact
that	IN/that	that
Mr.	NP	Mr.
Romney	NP	Romney
would	MD	would
submit	VV	submit
to	TO	to
the	DT	the
humiliation	NN	humiliation
inthe	NN	inthe
first	JJ	first
place	NN	place
is	VBZ	be
disturbing	JJ	disturbing
-	:	-
and	CC	and
ultimately	RB	ultimately
disqualifying	VVG	disqualify
.	SENT	.
Now	RB	now
there	EX	there
are	VBP	be
reports	NNS	report
that	IN/that	that
Mr.	NP	Mr.
Romney	NP	Romney
will	MD	will
have	VH	have
to	TO	to
make	VV	make
a	DT	a
full-throated	JJ	full-throated
apologyto	NN	apologyto
Donald	NP	Donald
Trump	NP	Trump
for	IN	for
calling	VVG	call
him	PP	him
a	DT	a
"	``	"
scam	NN	scam
artist	NN	artist
"	''	"
and	CC	and
other	JJ	other
fairly	RB	fairly
accurate	JJ	accurate
thingsbefore	NN	thingsbefore
he	PP	he
can	MD	can
expect	VV	expect
serious	JJ	serious
consideration	NN	consideration
.	SENT	.
Even	RB	even
then	RB	then
,	,	,
the	DT	the
job	NN	job
may	MD	may
go	VV	go
to	TO	to
formerNew	VV	formerNew
York	NP	York
Mayor	NP	Mayor
Rudy	NP	Rudy
Giuliani	NP	Giuliani
,	,	,
or	CC	or
a	DT	a
third	JJ	third
horse	NN	horse
like	IN	like
Gen.	NP	Gen.
David	NP	David
Petraeus	NP	Petraeus
,	,	,
anyway	RB	anyway
.	SENT	.
Because	IN	because
the	DT	the
2012	CD	@card@
GOP	NP	GOP
presidential	JJ	presidential
nominee	NN	nominee
was	VBD	be
not	RB	not
a	DT	a
Trump	NP	Trump
loyalist	NN	loyalist
,	,	,
he	PP	he
isexpected	VVD	isexpected
to	TO	to
show	VV	show
his	PP$	his
loyalty	NN	loyalty
to	TO	to
the	DT	the
president-elect	NN	president-elect
by	IN	by
"	``	"
bowing	VVG	bow
down	RP	down
,	,	,
"	''	"
inOmarosa	NP	inOmarosa
's	POS	's
words	NNS	word
.	SENT	.
When	WRB	when
he	PP	he
does	VVZ	do
,	,	,
his	PP$	his
shame	NN	shame
will	MD	will
be	VB	be
televised	VVN	televise
,	,	,
deconstructed	VVN	deconstruct
andlaughed	JJ	andlaughed
at	IN	at
along	RB	along
with	IN	with
all	PDT	all
the	DT	the
other	JJ	other
absurdities	NNS	absurdity
of	IN	of
the	DT	the
Trump	NP	Trump
news	NN	news
cycle	NN	cycle
.	SENT	.
But	CC	but
if	IN	if
there	EX	there
is	VBZ	be
one	CD	one
thing	NN	thing
the	DT	the
Romney	NP	Romney
comeuppance	NN	comeuppance
teaches	VVZ	teach
us	PP	us
is	VBZ	be
that	IN/that	that
every	DT	every
bully	NN	bully
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
insulated	VVN	insulate
by	IN	by
wealth	NN	wealth
he	PP	he
may	MD	may
be	VB	be
,	,	,
gets	VVZ	get
his	PP$	his
teeth	NNS	tooth
kicked	VVN	kick
in	IN	in
sooner	RBR	sooner
orlater	JJ	orlater
.	SENT	.
Call	VV	call
it	PP	it
karma	NN	karma
or	CC	or
whatever	JJ	whatever
-	:	-
but	CC	but
Donald	NP	Donald
Trump	NP	Trump
is	VBZ	be
headed	VVN	head
for	IN	for
an	DT	an
epic	NN	epic
fall	NN	fall
.	SENT	.
We	PP	we
're	VBP	be
already	RB	already
seeing	VVG	see
signs	NNS	sign
of	IN	of
the	DT	the
coming	VVG	come
unraveling	NN	unraveling
in	IN	in
his	PP$	his
petulant	JJ	petulant
response	NN	response
toHillary	NN	toHillary
Clinton	NP	Clinton
's	POS	's
massive	JJ	massive
lead	NN	lead
in	IN	in
the	DT	the
popular	JJ	popular
vote	NN	vote
.	SENT	.
He	PP	he
's	VBZ	be
feeling	VVG	feel
genuinelythreatened	JJ	genuinelythreatened
by	IN	by
the	DT	the
Wisconsin	NP	Wisconsin
recount	NN	recount
initiated	VVN	initiate
by	IN	by
Jill	NP	Jill
Stein	NP	Stein
's	POS	's
challenge	NN	challenge
.	SENT	.
Although	IN	although
it	PP	it
is	VBZ	be
n't	RB	n't
likely	JJ	likely
to	TO	to
reverse	VV	reverse
his	PP$	his
win	NN	win
,	,	,
it	PP	it
will	MD	will
contribute	VV	contribute
to	TO	to
Ms.	NP	Ms.
Clinton'soverall	NP	Clinton'soverall
lead	NN	lead
nationally	RB	nationally
.	SENT	.
In	IN	in
anticipation	NN	anticipation
of	IN	of
that	DT	that
embarrassment	NN	embarrassment
,	,	,
Mr.	NP	Mr.
Trump	NP	Trump
has	VHZ	have
embraced	VVN	embrace
the	DT	the
conspiracytheories	NNS	conspiracytheories
of	IN	of
Alex	NP	Alex
Jones	NP	Jones
'	POS	'
Infowars	NP	Infowars
website	NN	website
.	SENT	.
Mr.	NP	Mr.
Jones	NP	Jones
is	VBZ	be
pimping	VVG	pimp
themuch-discredited	JJ	themuch-discredited
theory	NN	theory
that	IN/that	that
"	``	"
millions	NNS	million
"	''	"
of	IN	of
votes	NNS	vote
were	VBD	be
cast	VVN	cast
by	IN	by
undocumentedimmigrants	NNS	undocumentedimmigrants
on	IN	on
Nov.	NP	Nov.
8	CD	8
.	SENT	.
That	DT	that
way	NN	way
,	,	,
Mr.	NP	Mr.
Trump	NP	Trump
can	MD	can
claim	VV	claim
he	PP	he
"	``	"
won	VVN	win
"	''	"
the	DT	the
popular	JJ	popular
vote	NN	vote
ifthe	NN	ifthe
votes	NNS	vote
of	IN	of
illegal	JJ	illegal
aliens	NNS	alien
are	VBP	be
deducted	VVN	deduct
from	IN	from
the	DT	the
total	NN	total
.	SENT	.
To	TO	To
save	VV	save
face	NN	face
,	,	,
Mr.	NP	Mr.
Trump	NP	Trump
is	VBZ	be
calling	VVG	call
into	IN	into
question	NN	question
the	DT	the
legitimacy	NN	legitimacy
of	IN	of
thepresidential	JJ	thepresidential
race	NN	race
he	PP	he
won	VVD	win
.	SENT	.
One	PP	one
would	MD	would
think	VV	think
he	PP	he
would	MD	would
welcome	VV	welcome
even	RB	even
a	DT	a
nationwiderecount	NN	nationwiderecount
to	TO	to
"	``	"
prove	VV	prove
"	''	"
he	PP	he
won	VVD	win
the	DT	the
Electoral	NP	Electoral
College	NP	College
and	CC	and
possibly	RB	possibly
the	DT	the
popular	JJ	popular
vote	NN	vote
,	,	,
but	CC	but
he	PP	he
'd	MD	will
rather	RB	rather
double	VV	double
down	RP	down
the	DT	the
ignorance	NN	ignorance
.	SENT	.
In	IN	in
the	DT	the
end	NN	end
,	,	,
Mr.	NP	Mr.
Trump	NP	Trump
's	POS	's
presidency	NN	presidency
could	MD	could
be	VB	be
fatally	RB	fatally
undermined	VVN	undermine
byconflict-of-interest	NN	byconflict-of-interest
issues	NNS	issue
he	PP	he
does	VVZ	do
n't	RB	n't
believe	VV	believe
apply	VV	apply
to	TO	to
him	PP	him
or	CC	or
his	PP$	his
familybusiness	NN	familybusiness
,	,	,
and	CC	and
emoluments	NNS	emolument
from	IN	from
foreign	JJ	foreign
governments	NNS	government
.	SENT	.
In	IN	in
a	DT	a
weird	JJ	weird
way	NN	way
,	,	,
maybe	RB	maybe
he'sdoing	VVG	he'sdoing
Mitt	NP	Mitt
Romney	NP	Romney
a	DT	a
favor	NN	favor
by	IN	by
humiliating	VVG	humiliate
him	PP	him
and	CC	and
sparing	VVG	spare
him	PP	him
the	DT	the
indignity	NN	indignity
