When	WRB	when
she	PP	she
was	VBD	be
first	RB	first
picked	VVN	pick
to	TO	to
vote	VV	vote
in	IN	in
the	DT	the
electoral	JJ	electoral
college	NN	college
,	,	,
Francine	NP	Francine
Busby	NP	Busby
wasbeyond	NN	wasbeyond
excited	VVD	excite
.	SENT	.
The	DT	the
San	NP	San
Diego	NP	Diego
Democratic	NP	Democratic
Party	NP	Party
chairwoman	NN	chairwoman
believed	VVD	believe
she	PP	she
was	VBD	be
goingto	NN	goingto
be	VB	be
marking	VVG	mark
an	DT	an
official	JJ	official
ballot	NN	ballot
to	TO	to
choose	VV	choose
the	DT	the
first	JJ	first
female	JJ	female
president	NN	president
of	IN	of
theUnited	JJ	theUnited
States	NPS	States
.	SENT	.
Now	RB	now
,	,	,
though	RB	though
,	,	,
given	VVN	give
Republican	NP	Republican
Donald	NP	Donald
Trump	NP	Trump
's	POS	's
upset	JJ	upset
victory	NN	victory
over	IN	over
Hillary	NP	Hillary
Clintonfor	NP	Clintonfor
the	DT	the
presidency	NN	presidency
,	,	,
California	NP	California
's	POS	's
electoral	JJ	electoral
college	NN	college
meeting	NN	meeting
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
muchdifferent	JJ	muchdifferent
than	IN	than
she	PP	she
expected	VVD	expect
.	SENT	.
"	``	"
There	EX	there
's	VBZ	be
no	DT	no
joy	NN	joy
in	IN	in
casting	VVG	cast
a	DT	a
vote	NN	vote
right	RB	right
now	RB	now
,	,	,
"	''	"
Busby	NP	Busby
said	VVD	say
.	SENT	.
Trump	NP	Trump
won	VVD	win
more	JJR	more
electoral	JJ	electoral
votes	NNS	vote
than	IN	than
Clinton	NP	Clinton
,	,	,
which	WDT	which
,	,	,
despite	IN	despite
her	PP$	her
current	JJ	current
2million-plus	JJ	2million-plus
lead	NN	lead
in	IN	in
the	DT	the
national	JJ	national
popular	JJ	popular
vote	NN	vote
,	,	,
will	MD	will
give	VV	give
him	PP	him
the	DT	the
presidency	NN	presidency
.	SENT	.
California	NP	California
is	VBZ	be
the	DT	the
most	RBS	most
